# relative |W - W_fused|/W_fused of total field energy, sample times
point,t=100,t=300,t=600,t=900,t=1500,t=2999
cadence10,9.64e-07,2.57e-05,4.93e-03,6.89e-03,1.29e-02,7.13e-04
cadence40,9.00e-07,6.17e-06,8.89e-03,1.39e-03,6.85e-03,2.39e-02
flat,1.75e-07,1.81e-05,5.55e-03,6.77e-04,1.60e-02,6.73e-03
tiled_nofuse,7.71e-07,5.73e-06,5.64e-03,4.22e-03,1.64e-02,1.87e-02
