# git_commit: 54ab8bd285f7caf4b27baccec746e8409fbdde78
# binary_md5: 334bbb9f2c26ecd01b8ab284870a600f
# driver: 610.43.02
# date: 2026-08-12T20:45:02-07:00
point,tile_sort,tile_migrate_fused,tend,wall_s,psteps_per_s
flat,0,1,3000,8564.9,3.77e+09
tiled_nofuse,20,0,3000,2260.8,1.43e+10
tiled_fused,20,1,3000,1900.8,1.7e+10
cadence10,10,1,3000,1996.6,1.62e+10
cadence40,40,1,3000,1862.0,1.74e+10
